t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,GA,Nuclear,nuclear_r_fsu,r,fsu,371.333333,
2026,GA,Nuclear,nuclear_r_fsu,r,fsu,371.333333,
2020,TN,Nuclear,nuclear_r_fsu,r,fsu,224.4,
2032,TX_ERCOT_E,Nuclear,nuclear_r_fsu,r,fsu,106.666667,
2035,WY,Nuclear,nuclear_r_fsu,r,fsu,115.0,
2038,ID,Nuclear,nuclear_r_fsu,r,fsu,65.864124,
2038,IL_PJM,Nuclear,nuclear_r_fsu,r,fsu,503.061164,
2038,NY_UP,Nuclear,nuclear_r_fsu,r,fsu,405.129035,
2038,WA,Nuclear,nuclear_r_fsu,r,fsu,77.675223,
2035,WI,Nuclear,nuclear_r_fsu,r,fsu,173.983636,
2038,WI,Nuclear,nuclear_r_fsu,r,fsu,590.644813,
