t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,p13001,Nuclear,nuclear_r_fsu,r,fsu,1114.0,From ReEDS case CarbCap90
2020,p47001,Nuclear,nuclear_r_fsu,r,fsu,1122.0,From ReEDS case CarbCap90
2026,p13001,Nuclear,nuclear_r_fsu,r,fsu,1114.0,From ReEDS case CarbCap90
2032,p48001,Nuclear,nuclear_r_fsu,r,fsu,320.0,From ReEDS case CarbCap90
2035,p56003,Nuclear,nuclear_r_fsu,r,fsu,345.0,From ReEDS case CarbCap90
2050,p36001,Nuclear,nuclear_r_fsu,r,fsu,319.291242,From ReEDS case CarbCap90
2050,p36001,Nuclear,nuclear_r_fsu,r,fsu,1952.249409,From ReEDS case CarbCap90
2035,p19009,Nuclear,nuclear_r_fsu,r,fsu,291.838513,From ReEDS case CarbCap90
2035,p55003,Nuclear,nuclear_r_fsu,r,fsu,1961.776947,From ReEDS case CarbCap90
2038,p13001,Nuclear,nuclear_r_fsu,r,fsu,1709.264793,From ReEDS case CarbCap90
2038,p19009,Nuclear,nuclear_r_fsu,r,fsu,95.002109,From ReEDS case CarbCap90
2038,p16009,Nuclear,nuclear_r_fsu,r,fsu,348.191303,From ReEDS case CarbCap90
2038,p17007,Nuclear,nuclear_r_fsu,r,fsu,2206.000108,From ReEDS case CarbCap90
2038,p18001,Nuclear,nuclear_r_fsu,r,fsu,680.947272,From ReEDS case CarbCap90
2038,p38001,Nuclear,nuclear_r_fsu,r,fsu,104.214759,From ReEDS case CarbCap90
2038,p32001,Nuclear,nuclear_r_fsu,r,fsu,1397.585716,From ReEDS case CarbCap90
2038,p36001,Nuclear,nuclear_r_fsu,r,fsu,1400.798,From ReEDS case CarbCap90
2038,p49001,Nuclear,nuclear_r_fsu,r,fsu,765.643071,From ReEDS case CarbCap90
2038,p53007,Nuclear,nuclear_r_fsu,r,fsu,452.788565,From ReEDS case CarbCap90
2038,p55003,Nuclear,nuclear_r_fsu,r,fsu,985.069851,From ReEDS case CarbCap90
2044,p4015,Nuclear,nuclear_r_fsu,r,fsu,745.211904,From ReEDS case CarbCap90
2044,p12005,Nuclear,nuclear_r_fsu,r,fsu,1460.776903,From ReEDS case CarbCap90
2044,p17007,Nuclear,nuclear_r_fsu,r,fsu,168.96593,From ReEDS case CarbCap90
2044,p38001,Nuclear,nuclear_r_fsu,r,fsu,114.665841,From ReEDS case CarbCap90
2044,p32001,Nuclear,nuclear_r_fsu,r,fsu,544.163019,From ReEDS case CarbCap90
2044,p36001,Nuclear,nuclear_r_fsu,r,fsu,1708.83333,From ReEDS case CarbCap90
2044,p49001,Nuclear,nuclear_r_fsu,r,fsu,329.824188,From ReEDS case CarbCap90
2044,p51003,Nuclear,nuclear_r_fsu,r,fsu,28.428568,From ReEDS case CarbCap90
2044,p55003,Nuclear,nuclear_r_fsu,r,fsu,237.976087,From ReEDS case CarbCap90
2047,p4015,Nuclear,nuclear_r_fsu,r,fsu,1316.922321,From ReEDS case CarbCap90
2050,p4015,Nuclear,nuclear_r_fsu,r,fsu,1303.0303,From ReEDS case CarbCap90
2050,p10001,Nuclear,nuclear_r_fsu,r,fsu,219.299424,From ReEDS case CarbCap90
2047,p12005,Nuclear,nuclear_r_fsu,r,fsu,2972.009048,From ReEDS case CarbCap90
2050,p12005,Nuclear,nuclear_r_fsu,r,fsu,4319.434118,From ReEDS case CarbCap90
2047,p13001,Nuclear,nuclear_r_fsu,r,fsu,655.386361,From ReEDS case CarbCap90
2050,p13001,Nuclear,nuclear_r_fsu,r,fsu,1358.875377,From ReEDS case CarbCap90
2047,p19009,Nuclear,nuclear_r_fsu,r,fsu,74.958651,From ReEDS case CarbCap90
2050,p19009,Nuclear,nuclear_r_fsu,r,fsu,501.265093,From ReEDS case CarbCap90
2047,p17001,Nuclear,nuclear_r_fsu,r,fsu,410.405594,From ReEDS case CarbCap90
2050,p17001,Nuclear,nuclear_r_fsu,r,fsu,1196.894171,From ReEDS case CarbCap90
2047,p17007,Nuclear,nuclear_r_fsu,r,fsu,3683.218663,From ReEDS case CarbCap90
2047,p21003,Nuclear,nuclear_r_fsu,r,fsu,693.343717,From ReEDS case CarbCap90
2050,p21003,Nuclear,nuclear_r_fsu,r,fsu,292.475693,From ReEDS case CarbCap90
2050,p37003,Nuclear,nuclear_r_fsu,r,fsu,1731.685763,From ReEDS case CarbCap90
2047,p38001,Nuclear,nuclear_r_fsu,r,fsu,237.869971,From ReEDS case CarbCap90
2050,p38001,Nuclear,nuclear_r_fsu,r,fsu,574.298731,From ReEDS case CarbCap90
2047,p32001,Nuclear,nuclear_r_fsu,r,fsu,866.779728,From ReEDS case CarbCap90
2050,p32001,Nuclear,nuclear_r_fsu,r,fsu,644.332011,From ReEDS case CarbCap90
2047,p36001,Nuclear,nuclear_r_fsu,r,fsu,1375.013199,From ReEDS case CarbCap90
2047,p47001,Nuclear,nuclear_r_fsu,r,fsu,163.566777,From ReEDS case CarbCap90
2050,p47001,Nuclear,nuclear_r_fsu,r,fsu,1181.162559,From ReEDS case CarbCap90
2050,p48037,Nuclear,nuclear_r_fsu,r,fsu,749.137944,From ReEDS case CarbCap90
2047,p49001,Nuclear,nuclear_r_fsu,r,fsu,375.120997,From ReEDS case CarbCap90
2050,p49001,Nuclear,nuclear_r_fsu,r,fsu,372.53316,From ReEDS case CarbCap90
2047,p51003,Nuclear,nuclear_r_fsu,r,fsu,7329.786979,From ReEDS case CarbCap90
2050,p51003,Nuclear,nuclear_r_fsu,r,fsu,1568.451647,From ReEDS case CarbCap90
2047,p55003,Nuclear,nuclear_r_fsu,r,fsu,329.481234,From ReEDS case CarbCap90
2050,p55003,Nuclear,nuclear_r_fsu,r,fsu,1042.877771,From ReEDS case CarbCap90
