t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,p13001,Nuclear,nuclear_r_fsu,r,fsu,1114.0,From ReEDS case nuclearCCS_80
2020,p47001,Nuclear,nuclear_r_fsu,r,fsu,1122.0,From ReEDS case nuclearCCS_80
2026,p13001,Nuclear,nuclear_r_fsu,r,fsu,1114.0,From ReEDS case nuclearCCS_80
2032,p48001,Nuclear,nuclear_r_fsu,r,fsu,320.0,From ReEDS case nuclearCCS_80
2035,p56003,Nuclear,nuclear_r_fsu,r,fsu,345.0,From ReEDS case nuclearCCS_80
2035,p55003,Nuclear,nuclear_r_fsu,r,fsu,1357.95244,From ReEDS case nuclearCCS_80
2038,p16009,Nuclear,nuclear_r_fsu,r,fsu,1096.648898,From ReEDS case nuclearCCS_80
2038,p17007,Nuclear,nuclear_r_fsu,r,fsu,1933.748905,From ReEDS case nuclearCCS_80
2038,p32001,Nuclear,nuclear_r_fsu,r,fsu,898.060998,From ReEDS case nuclearCCS_80
2038,p36001,Nuclear,nuclear_r_fsu,r,fsu,1371.519855,From ReEDS case nuclearCCS_80
2038,p53007,Nuclear,nuclear_r_fsu,r,fsu,306.438662,From ReEDS case nuclearCCS_80
2038,p55003,Nuclear,nuclear_r_fsu,r,fsu,196.489755,From ReEDS case nuclearCCS_80
2050,p4015,Nuclear,nuclear_r_fsu,r,fsu,336.452578,From ReEDS case nuclearCCS_80
2047,p10001,Nuclear,nuclear_r_fsu,r,fsu,55.152221,From ReEDS case nuclearCCS_80
2050,p10001,Nuclear,nuclear_r_fsu,r,fsu,508.806077,From ReEDS case nuclearCCS_80
2050,p12005,Nuclear,nuclear_r_fsu,r,fsu,2494.625444,From ReEDS case nuclearCCS_80
2050,p19009,Nuclear,nuclear_r_fsu,r,fsu,362.994416,From ReEDS case nuclearCCS_80
2047,p32001,Nuclear,nuclear_r_fsu,r,fsu,152.015271,From ReEDS case nuclearCCS_80
2050,p32001,Nuclear,nuclear_r_fsu,r,fsu,1048.875214,From ReEDS case nuclearCCS_80
2047,p36001,Nuclear,nuclear_r_fsu,r,fsu,895.668758,From ReEDS case nuclearCCS_80
2050,p36001,Nuclear,nuclear_r_fsu,r,fsu,2554.276171,From ReEDS case nuclearCCS_80
2050,p49001,Nuclear,nuclear_r_fsu,r,fsu,81.750746,From ReEDS case nuclearCCS_80
2047,p51003,Nuclear,nuclear_r_fsu,r,fsu,2138.980974,From ReEDS case nuclearCCS_80
2050,p51003,Nuclear,nuclear_r_fsu,r,fsu,2766.006912,From ReEDS case nuclearCCS_80
2050,p55003,Nuclear,nuclear_r_fsu,r,fsu,366.989407,From ReEDS case nuclearCCS_80
