t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,p13001,Nuclear,nuclear_r_fsu,r,fsu,1114.0,From ReEDS case CarbCap95
2020,p47001,Nuclear,nuclear_r_fsu,r,fsu,1122.0,From ReEDS case CarbCap95
2026,p13001,Nuclear,nuclear_r_fsu,r,fsu,1114.0,From ReEDS case CarbCap95
2032,p48001,Nuclear,nuclear_r_fsu,r,fsu,320.0,From ReEDS case CarbCap95
2035,p56003,Nuclear,nuclear_r_fsu,r,fsu,345.0,From ReEDS case CarbCap95
2035,p55003,Nuclear,nuclear_r_fsu,r,fsu,1357.95248,From ReEDS case CarbCap95
2038,p16009,Nuclear,nuclear_r_fsu,r,fsu,1096.662207,From ReEDS case CarbCap95
2038,p17007,Nuclear,nuclear_r_fsu,r,fsu,1933.740622,From ReEDS case CarbCap95
2038,p32001,Nuclear,nuclear_r_fsu,r,fsu,898.061338,From ReEDS case CarbCap95
2038,p36001,Nuclear,nuclear_r_fsu,r,fsu,1371.517256,From ReEDS case CarbCap95
2038,p53007,Nuclear,nuclear_r_fsu,r,fsu,306.44166,From ReEDS case CarbCap95
2038,p55003,Nuclear,nuclear_r_fsu,r,fsu,196.488129,From ReEDS case CarbCap95
2044,p4015,Nuclear,nuclear_r_fsu,r,fsu,831.169426,From ReEDS case CarbCap95
2044,p12005,Nuclear,nuclear_r_fsu,r,fsu,2350.390606,From ReEDS case CarbCap95
2044,p32001,Nuclear,nuclear_r_fsu,r,fsu,391.886378,From ReEDS case CarbCap95
2044,p36001,Nuclear,nuclear_r_fsu,r,fsu,1381.913423,From ReEDS case CarbCap95
2044,p49001,Nuclear,nuclear_r_fsu,r,fsu,67.263773,From ReEDS case CarbCap95
2050,p1007,Nuclear,nuclear_r_fsu,r,fsu,1167.029814,From ReEDS case CarbCap95
2047,p4015,Nuclear,nuclear_r_fsu,r,fsu,2833.324376,From ReEDS case CarbCap95
2050,p4015,Nuclear,nuclear_r_fsu,r,fsu,2864.739477,From ReEDS case CarbCap95
2050,p8001,Nuclear,nuclear_r_fsu,r,fsu,625.814008,From ReEDS case CarbCap95
2047,p12005,Nuclear,nuclear_r_fsu,r,fsu,11225.902004,From ReEDS case CarbCap95
2050,p12005,Nuclear,nuclear_r_fsu,r,fsu,2529.081388,From ReEDS case CarbCap95
2047,p13001,Nuclear,nuclear_r_fsu,r,fsu,2099.05374,From ReEDS case CarbCap95
2050,p13001,Nuclear,nuclear_r_fsu,r,fsu,1831.91646,From ReEDS case CarbCap95
2050,p19009,Nuclear,nuclear_r_fsu,r,fsu,423.48595,From ReEDS case CarbCap95
2047,p17001,Nuclear,nuclear_r_fsu,r,fsu,1176.35106,From ReEDS case CarbCap95
2047,p17007,Nuclear,nuclear_r_fsu,r,fsu,2412.664734,From ReEDS case CarbCap95
2047,p21003,Nuclear,nuclear_r_fsu,r,fsu,288.917874,From ReEDS case CarbCap95
2050,p21003,Nuclear,nuclear_r_fsu,r,fsu,977.199758,From ReEDS case CarbCap95
2050,p22001,Nuclear,nuclear_r_fsu,r,fsu,1317.521424,From ReEDS case CarbCap95
2050,p37003,Nuclear,nuclear_r_fsu,r,fsu,1671.93904,From ReEDS case CarbCap95
2047,p38001,Nuclear,nuclear_r_fsu,r,fsu,111.549618,From ReEDS case CarbCap95
2050,p38001,Nuclear,nuclear_r_fsu,r,fsu,364.06236,From ReEDS case CarbCap95
2047,p32001,Nuclear,nuclear_r_fsu,r,fsu,833.662571,From ReEDS case CarbCap95
2050,p32001,Nuclear,nuclear_r_fsu,r,fsu,1007.028709,From ReEDS case CarbCap95
2047,p36001,Nuclear,nuclear_r_fsu,r,fsu,1495.598292,From ReEDS case CarbCap95
2050,p36001,Nuclear,nuclear_r_fsu,r,fsu,1682.513325,From ReEDS case CarbCap95
2047,p47001,Nuclear,nuclear_r_fsu,r,fsu,260.675767,From ReEDS case CarbCap95
2050,p48001,Nuclear,nuclear_r_fsu,r,fsu,7553.844708,From ReEDS case CarbCap95
2047,p48037,Nuclear,nuclear_r_fsu,r,fsu,561.603845,From ReEDS case CarbCap95
2050,p48037,Nuclear,nuclear_r_fsu,r,fsu,1733.084047,From ReEDS case CarbCap95
2047,p49001,Nuclear,nuclear_r_fsu,r,fsu,663.953355,From ReEDS case CarbCap95
2050,p49001,Nuclear,nuclear_r_fsu,r,fsu,793.749212,From ReEDS case CarbCap95
2047,p51003,Nuclear,nuclear_r_fsu,r,fsu,6485.890586,From ReEDS case CarbCap95
2050,p51003,Nuclear,nuclear_r_fsu,r,fsu,239.013598,From ReEDS case CarbCap95
2047,p55003,Nuclear,nuclear_r_fsu,r,fsu,1246.957041,From ReEDS case CarbCap95
2050,p55003,Nuclear,nuclear_r_fsu,r,fsu,16.616918,From ReEDS case CarbCap95
