t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,p13001,Nuclear,nuclear_r_fsu,r,fsu,1114.0,From ReEDS case nuclearCCS_90
2020,p47001,Nuclear,nuclear_r_fsu,r,fsu,1122.0,From ReEDS case nuclearCCS_90
2026,p13001,Nuclear,nuclear_r_fsu,r,fsu,1114.0,From ReEDS case nuclearCCS_90
2032,p48001,Nuclear,nuclear_r_fsu,r,fsu,320.0,From ReEDS case nuclearCCS_90
2035,p56003,Nuclear,nuclear_r_fsu,r,fsu,345.0,From ReEDS case nuclearCCS_90
2035,p55003,Nuclear,nuclear_r_fsu,r,fsu,1357.952478,From ReEDS case nuclearCCS_90
2038,p16009,Nuclear,nuclear_r_fsu,r,fsu,1096.661161,From ReEDS case nuclearCCS_90
2038,p17007,Nuclear,nuclear_r_fsu,r,fsu,1933.739688,From ReEDS case nuclearCCS_90
2038,p32001,Nuclear,nuclear_r_fsu,r,fsu,898.061355,From ReEDS case nuclearCCS_90
2038,p36001,Nuclear,nuclear_r_fsu,r,fsu,1371.517256,From ReEDS case nuclearCCS_90
2038,p53007,Nuclear,nuclear_r_fsu,r,fsu,306.439749,From ReEDS case nuclearCCS_90
2038,p55003,Nuclear,nuclear_r_fsu,r,fsu,196.488536,From ReEDS case nuclearCCS_90
2050,p4015,Nuclear,nuclear_r_fsu,r,fsu,2656.888355,From ReEDS case nuclearCCS_90
2050,p8001,Nuclear,nuclear_r_fsu,r,fsu,216.632437,From ReEDS case nuclearCCS_90
2047,p10001,Nuclear,nuclear_r_fsu,r,fsu,615.450844,From ReEDS case nuclearCCS_90
2050,p10001,Nuclear,nuclear_r_fsu,r,fsu,539.090033,From ReEDS case nuclearCCS_90
2050,p12005,Nuclear,nuclear_r_fsu,r,fsu,9183.506547,From ReEDS case nuclearCCS_90
2050,p13001,Nuclear,nuclear_r_fsu,r,fsu,2351.185709,From ReEDS case nuclearCCS_90
2047,p19009,Nuclear,nuclear_r_fsu,r,fsu,262.137858,From ReEDS case nuclearCCS_90
2050,p19009,Nuclear,nuclear_r_fsu,r,fsu,1097.922019,From ReEDS case nuclearCCS_90
2047,p17001,Nuclear,nuclear_r_fsu,r,fsu,159.372525,From ReEDS case nuclearCCS_90
2050,p17001,Nuclear,nuclear_r_fsu,r,fsu,1191.366331,From ReEDS case nuclearCCS_90
2047,p17007,Nuclear,nuclear_r_fsu,r,fsu,3121.821524,From ReEDS case nuclearCCS_90
2050,p17007,Nuclear,nuclear_r_fsu,r,fsu,711.038427,From ReEDS case nuclearCCS_90
2050,p21003,Nuclear,nuclear_r_fsu,r,fsu,676.559108,From ReEDS case nuclearCCS_90
2050,p24001,Nuclear,nuclear_r_fsu,r,fsu,362.292978,From ReEDS case nuclearCCS_90
2050,p37003,Nuclear,nuclear_r_fsu,r,fsu,2943.684328,From ReEDS case nuclearCCS_90
2050,p38001,Nuclear,nuclear_r_fsu,r,fsu,883.441046,From ReEDS case nuclearCCS_90
2050,p33001,Nuclear,nuclear_r_fsu,r,fsu,530.274532,From ReEDS case nuclearCCS_90
2047,p32001,Nuclear,nuclear_r_fsu,r,fsu,795.526065,From ReEDS case nuclearCCS_90
2050,p32001,Nuclear,nuclear_r_fsu,r,fsu,903.25552,From ReEDS case nuclearCCS_90
2047,p36001,Nuclear,nuclear_r_fsu,r,fsu,1978.645587,From ReEDS case nuclearCCS_90
2050,p36001,Nuclear,nuclear_r_fsu,r,fsu,3130.23891,From ReEDS case nuclearCCS_90
2050,p45001,Nuclear,nuclear_r_fsu,r,fsu,45.53486,From ReEDS case nuclearCCS_90
2050,p47001,Nuclear,nuclear_r_fsu,r,fsu,1049.841491,From ReEDS case nuclearCCS_90
2050,p48037,Nuclear,nuclear_r_fsu,r,fsu,1236.822132,From ReEDS case nuclearCCS_90
2050,p49001,Nuclear,nuclear_r_fsu,r,fsu,1604.634117,From ReEDS case nuclearCCS_90
2047,p51003,Nuclear,nuclear_r_fsu,r,fsu,6017.327119,From ReEDS case nuclearCCS_90
2050,p51003,Nuclear,nuclear_r_fsu,r,fsu,2614.803278,From ReEDS case nuclearCCS_90
2047,p53007,Nuclear,nuclear_r_fsu,r,fsu,2.472358,From ReEDS case nuclearCCS_90
2050,p53007,Nuclear,nuclear_r_fsu,r,fsu,1232.056779,From ReEDS case nuclearCCS_90
2047,p55003,Nuclear,nuclear_r_fsu,r,fsu,144.83776,From ReEDS case nuclearCCS_90
2050,p55003,Nuclear,nuclear_r_fsu,r,fsu,1021.650892,From ReEDS case nuclearCCS_90
