t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,p94,Nuclear,nuclear_r_fsu,r,fsu,1114.0,
2020,p92,Nuclear,nuclear_r_fsu,r,fsu,1122.0,
2026,p94,Nuclear,nuclear_r_fsu,r,fsu,1114.0,
2032,p63,Nuclear,nuclear_r_fsu,r,fsu,320.0,
2035,p21,Nuclear,nuclear_r_fsu,r,fsu,345.0,
2035,p46,Nuclear,nuclear_r_fsu,r,fsu,1357.950866,
2038,p14,Nuclear,nuclear_r_fsu,r,fsu,1096.673366,
2038,p80,Nuclear,nuclear_r_fsu,r,fsu,1933.740987,
2038,p12,Nuclear,nuclear_r_fsu,r,fsu,898.061576,
2038,p127,Nuclear,nuclear_r_fsu,r,fsu,1371.517015,
2038,p1,Nuclear,nuclear_r_fsu,r,fsu,306.439817,
2038,p46,Nuclear,nuclear_r_fsu,r,fsu,196.49,
2047,p27,Nuclear,nuclear_r_fsu,r,fsu,67.140191,
2050,p27,Nuclear,nuclear_r_fsu,r,fsu,2713.150732,
2050,p33,Nuclear,nuclear_r_fsu,r,fsu,221.669056,
2047,p125,Nuclear,nuclear_r_fsu,r,fsu,697.534238,
2050,p125,Nuclear,nuclear_r_fsu,r,fsu,519.802529,
2050,p91,Nuclear,nuclear_r_fsu,r,fsu,10698.991842,
2050,p94,Nuclear,nuclear_r_fsu,r,fsu,2316.837015,
2047,p45,Nuclear,nuclear_r_fsu,r,fsu,422.206912,
2050,p45,Nuclear,nuclear_r_fsu,r,fsu,1341.861867,
2047,p81,Nuclear,nuclear_r_fsu,r,fsu,75.76888,
2050,p81,Nuclear,nuclear_r_fsu,r,fsu,1722.393672,
2047,p80,Nuclear,nuclear_r_fsu,r,fsu,3326.336275,
2050,p80,Nuclear,nuclear_r_fsu,r,fsu,259.068786,
2050,p93,Nuclear,nuclear_r_fsu,r,fsu,969.473925,
2050,p121,Nuclear,nuclear_r_fsu,r,fsu,1689.579802,
2050,p97,Nuclear,nuclear_r_fsu,r,fsu,3441.11796,
2050,p36,Nuclear,nuclear_r_fsu,r,fsu,1227.603946,
2050,p130,Nuclear,nuclear_r_fsu,r,fsu,416.189586,
2047,p12,Nuclear,nuclear_r_fsu,r,fsu,850.375309,
2050,p12,Nuclear,nuclear_r_fsu,r,fsu,847.992666,
2047,p127,Nuclear,nuclear_r_fsu,r,fsu,1849.928026,
2050,p127,Nuclear,nuclear_r_fsu,r,fsu,4061.666161,
2050,p92,Nuclear,nuclear_r_fsu,r,fsu,930.829897,
2050,p57,Nuclear,nuclear_r_fsu,r,fsu,1363.961813,
2050,p25,Nuclear,nuclear_r_fsu,r,fsu,1954.903037,
2047,p99,Nuclear,nuclear_r_fsu,r,fsu,6143.471986,
2050,p99,Nuclear,nuclear_r_fsu,r,fsu,2363.462526,
2047,p1,Nuclear,nuclear_r_fsu,r,fsu,370.984325,
2050,p1,Nuclear,nuclear_r_fsu,r,fsu,1316.533956,
2047,p46,Nuclear,nuclear_r_fsu,r,fsu,300.280952,
2050,p46,Nuclear,nuclear_r_fsu,r,fsu,1160.356821,
