t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2023,p94,Nuclear,nuclear_r_fsu,r,fsu,1114.0,
2020,p92,Nuclear,nuclear_r_fsu,r,fsu,1122.0,
2026,p94,Nuclear,nuclear_r_fsu,r,fsu,1114.0,
2032,p63,Nuclear,nuclear_r_fsu,r,fsu,320.0,
2035,p21,Nuclear,nuclear_r_fsu,r,fsu,345.0,
2035,p46,Nuclear,nuclear_r_fsu,r,fsu,1357.951008,
2038,p14,Nuclear,nuclear_r_fsu,r,fsu,1096.670591,
2038,p80,Nuclear,nuclear_r_fsu,r,fsu,1933.757967,
2038,p12,Nuclear,nuclear_r_fsu,r,fsu,898.061472,
2038,p127,Nuclear,nuclear_r_fsu,r,fsu,1371.517218,
2038,p1,Nuclear,nuclear_r_fsu,r,fsu,306.433952,
2038,p46,Nuclear,nuclear_r_fsu,r,fsu,196.485873,
2047,p125,Nuclear,nuclear_r_fsu,r,fsu,55.152326,
2050,p125,Nuclear,nuclear_r_fsu,r,fsu,373.337591,
2047,p12,Nuclear,nuclear_r_fsu,r,fsu,151.833986,
2050,p12,Nuclear,nuclear_r_fsu,r,fsu,508.532195,
2047,p127,Nuclear,nuclear_r_fsu,r,fsu,895.659084,
2050,p127,Nuclear,nuclear_r_fsu,r,fsu,1334.472045,
2047,p99,Nuclear,nuclear_r_fsu,r,fsu,2138.994964,
